"";"Country";"NGDP_RPCH";"BCA_NGDPD";"GGXWDG";"NGDP_FY"
"169";"TTO";1,586;4,485;99,48;207,782
"9";"AUT";1,381;1,838;307,809;356,892
"53";"EST";3,376;-0,731;2,232;22,828
"150";"SLV";2,6;-5,426;18,008;28,538
"155";"SUR";4,5;-3,876;9,148;21,11
"16";"BGR";1,8;-1,09;27,598;86,614
"72";"HND";3,6;-6,19;257,686;514,065
"181";"VCT";3,154;-22,893;1,769;2,237
"102";"LTU";3,365;-1,443;15,947;42,178
"120";"MWI";6,021;-2,527;1156,002;2711,837
"24";"BRB";1,468;-5,87;10,004;9,542
"8";"AUS";3,109;-3,217;731,923;1768,623
"84";"JAM";2,45;-4,168;2435,403;2033,858
"4";"ARE";3,415;7,176;238,508;1526,994
"48";"DZA";4,014;-11,917;3426,601;20526,876
"185";"WSM";-0,986;-5,24;1,137;2,044
"79";"IRN";1,546;0,898;2020176,343;17208602,538
"15";"BGD";7;-0,63;6171,838;19982,668
"49";"ECU";4,547;-2,778;44,612;118,218
"19";"BIH";3,6;-7,278;13,633;29,913
"178";"USA";2,662;-2,592;20709,312;19864,552
"118";"MRT";4,798;-22,353;1059,761;1890,15
"127";"NOR";1,798;6,212;1048,551;3480,796
"65";"GNB";4;-16,92;353,608;618,607
"59";"GAB";5,621;1,155;3162,788;9491,159
"61";"GEO";4,516;-10,679;15,079;36,225
"38";"COM";3,962;-13,079;59,135;318,33
"151";"SMR";1,2;NA;0,36;1,427
"89";"KGZ";5,161;-13,498;340,948;559,273
"182";"VEN";-2,5;2,349;3724,442;14150,232
